id	output
["0xf28f9F37B58d282A86e71758e8B4Fa264A0B72e4",999]	{"name": "WBTC", "symbol": "WBTC", "decimals": 18}
["0x63f5CeB25D4b5c1F3260cD09FB63A0C472a7aF83",999]	{"name": "BABYPURR", "symbol": "BABYPURR", "decimals": 18}
["0x6D80744f1C62c1e370f83A258c215Fb748155992",999]	{"name": "Tether USD", "symbol": "USDT", "decimals": 18}
["0x86eC4Bea6ec1b229784FeB9EE6D9c0A102C29660",999]	{"name": "CAT", "symbol": "CAT", "decimals": 18}
["0xE7a8eb848F4Cb20a3E4CB0D6eC8de4E8D1F477fB",999]	{"name": "Kaito", "symbol": "Kaito", "decimals": 18}
["0x98EF4777A927D1CaAb05B68017955Bc46D8B15bC",999]	{"name": "DOGE FATHER", "symbol": "DOGEF", "decimals": 18}
["0x9c227E65D662C5f332D800D4a11346B70fA276E4",999]	{"name": "Kaito", "symbol": "Kaito", "decimals": 18}
["0x7D3e76992594403bC9C7031dc605D2a51b24bD95",999]	{"name": "HOLD", "symbol": "HOLD", "decimals": 18}
["0x861C2Ae7eFEE6fE13A5670A6a8174B9374B08a67",999]	{"name": "PURR", "symbol": "PURR", "decimals": 18}
["0xeFDcDc015EAada5ec643A89609095F584162132c",999]	{"name": "PURR", "symbol": "PURR", "decimals": 18}
["0xfA62021CB5E93BF08c71Bffe43276f43cd6ffc50",999]	{"name": "BAE", "symbol": "BAE", "decimals": 18}
["0xed1383bcf521D8d3ac3cEC82208b008a9f675815",999]	{"name": "HFLIP", "symbol": "HFLIP", "decimals": 18}
["0xC4818500c17104Df55c9B72817D41654Da9B8A02",999]	{"name": "HMOODENG", "symbol": "HMOODENG", "decimals": 18}
["0x953a362482Bdb1105aFfE27E169193172cd4D7e1",999]	{"name": "HFLIP", "symbol": "HFLIP", "decimals": 18}
["0xf7597bf101f718DF0A628e51d074F9acA03a27de",999]	{"name": "HYPRICE", "symbol": "HYPRICE", "decimals": 18}
["0xc13f89B4414EF3B5297136E221571BEE97E4e3f7",999]	{"name": "HYCHAD", "symbol": "HYCHAD", "decimals": 18}
["0x8Ae33ceDdde4CADE3bfc94FF427F7e0e0E0173A2",999]	{"name": "HIGHHYPE", "symbol": "HHYPE", "decimals": 18}
["0xdB1E98D81261754f50026D44D22EFcE70293FC62",999]	{"name": "Hyperboria", "symbol": "HYPRIA", "decimals": 18}
["0xeA334d7a1AF9347C6ed1d77e25D34fA325aBB4Ac",999]	{"name": "VAULT", "symbol": "VAULT", "decimals": 18}
["0x7C56ee4DEd219394e67aB1831F332A3cA58be663",999]	{"name": "HFAT", "symbol": "HFAT", "decimals": 18}
["0xe38aF26c77EE4B3F1804128157F06B2b904fbb8b",999]	{"name": "HyperPills", "symbol": "MOON", "decimals": 18}
["0x1F98DF820716dad521e0EEAF6E96aB0d233957cf",999]	{"name": "BOORB", "symbol": "BOORB", "decimals": 18}
["0x313CDAdc5c8f9CA72a5C23c43f391fb64e396ad5",999]	{"name": "gMonad", "symbol": "MONAD", "decimals": 18}
["0x50C1F50002BA372DB01ff0e70D9C45979E6C3fe4",999]	{"name": "Mogged", "symbol": "Mog", "decimals": 18}
["0x1bc7Fe2182B58143FFF75f3723bd60e99A01eCE2",999]	{"name": "OnlyUP", "symbol": "OnlyUP", "decimals": 18}
["0x1E1d585f02eD0a10A4A31adC775b118D7760c498",999]	{"name": "Mogged", "symbol": "MOG", "decimals": 18}
["0x449D95f973AE2A6A92cC5424ec4c04776A35D5D6",999]	{"name": "HYPO", "symbol": "HYPO", "decimals": 18}
["0x009906dE6B7926db2184f4f14c9E212E5C5978BD",999]	{"name": "HypeTop", "symbol": "HypeT", "decimals": 18}
["0x39D368F5d8E94ddfD6F9A087685BBCE74A1E0F24",999]	{"name": "vtest", "symbol": "VTEST", "decimals": 18}
["0x4F9CDc9d3D67c3cDf48C19e510310a80B16e9aeE",999]	{"name": "ttt", "symbol": "TTT", "decimals": 18}
["0x4429b86146AA9839799B1f5b2500eA9e308DD1b5",999]	{"name": "ttt", "symbol": "TTT", "decimals": 18}
["0x3AcA1B2ad4df59038eAf3Cea787CAc246Fd24e4c",999]	{"name": "ttt", "symbol": "TTT", "decimals": 18}
["0x03612466A2760c7D438e74E8c17A401c5cC9C5bA",999]	{"name": "ttt", "symbol": "TTT", "decimals": 18}
["0x432f9c54d2e71c8844D6101DA8DB2D8966F06927",999]	{"name": "ttt", "symbol": "TTT", "decimals": 18}
["0x2fDF47CbA75b70EA45D8bb0c3bc8B3B73F686fdF",999]	{"name": "mmm", "symbol": "MMM", "decimals": 18}
["0x31F109f5455514d05703e1dC2430F576015E9Bb8",999]	{"name": "HyperChef", "symbol": "CHEF", "decimals": 18}
["0x4bB67934A48C73B53cC3fEB7711d84c0124a1563",999]	{"name": "PEPE", "symbol": "PEPE", "decimals": 18}
["0x1723034eA1ee274361ae7acdc6De2356b9cD4945",999]	{"name": "BLIQUIDC", "symbol": "BLIQDC", "decimals": 18}
["0x1D5dE083a2AAb297F827eA1aCABafD27d8f8FcA1",999]	{"name": "NIGGAJEFF", "symbol": "NIGJEFF", "decimals": 18}
["0x2B49F02476d7477d747019f8326805237AB1c973",999]	{"name": "TrueTrump", "symbol": "TTRMP", "decimals": 18}
["0x18A73098Ec9167eb66344644eF3FC90f144bc860",999]	{"name": "GOKU", "symbol": "GOKU", "decimals": 18}
["0x15eA2E2527b0D1e8678927f020BefEBd885B341E",999]	{"name": "HLBASCO", "symbol": "HLBASCO", "decimals": 18}
["0x50D52D9CCe9f759c27d89300671488c4Dd89a842",999]	{"name": "EPYH", "symbol": "EPYH", "decimals": 18}
["0x53A08DFEA3966810Ac5145E7514aFC060222aaFe",999]	{"name": "hypernigga", "symbol": "hnigga", "decimals": 18}
["0x45a28dFb758891Dbb7e780Bbb97A35a23329736e",999]	{"name": "HYPEBOT", "symbol": "HBOT", "decimals": 18}
["0x43dA884cF2be9585f52B0ab50a2f76E09977c83d",999]	{"name": "HYPNOFROG", "symbol": "HYPFROG", "decimals": 18}
["0x28c831dA2149d2159c66F905a4d48eeb90b041a5",999]	{"name": "Bulllish", "symbol": "BULL", "decimals": 18}
["0x1D413e11828D7E1b1327a3900951E5668F4BC7C1",999]	{"name": "TOAD", "symbol": "TOAD", "decimals": 18}
["0x024818Df04F14Bbc57591B65911d6Da82dAbA826",999]	{"name": "ATEHUN", "symbol": "800", "decimals": 18}
["0x124eD2213414eF89495be4FcE3dCa99107B91e9D",999]	{"name": "SPEED", "symbol": "SPEED", "decimals": 18}
["0x3237603c3fCEfc6EF22D8EC2e8320743E4b3ECAe",999]	{"name": "OJISAN", "symbol": "OJISAN", "decimals": 18}
["0x831241b682490DD5A6b8BA51f916502570B72445",999]	{"name": "HYMON", "symbol": "HYMON", "decimals": 18}
["0x5590C13d8929ABbcEE67e05B8D5f38fbDED9A90e",999]	{"name": "JeffsSon", "symbol": "SonOfJeff", "decimals": 18}
["0x570bcD023003e02Ff00D9C318fB197c3606D63Cb",999]	{"name": "ALEN", "symbol": "ALEN", "decimals": 18}
["0xFE1b59efd0167C2b6D2dc05316cD868A4D32efC0",999]	{"name": "MOGGED", "symbol": "MOG", "decimals": 18}
["0xd5CF95F068eAe53eF8Cd4DE50fef10e110Ccc79D",999]	{"name": "Mogged", "symbol": "MOG", "decimals": 18}
["0x5E40BDFC6D7127064eb89E7CB188D9bD4BA528c5",999]	{"name": "Test", "symbol": "TEST", "decimals": 18}
